"Index Num","Asylum Data",Year,Age,Sex,"Country of Asylum"
312,985,2016,"From 14 to 15 years",Females,Austria
313,135,2016,"From 14 to 15 years",Females,Austria
314,240,2016,"From 14 to 15 years",Females,Austria
315,140,2016,"From 14 to 15 years",Females,Austria
316,45,2016,"From 14 to 15 years",Females,Austria
317,40,2016,"From 14 to 15 years",Females,Austria
318,0,2016,"From 14 to 15 years",Females,Austria
319,0,2016,"From 14 to 15 years",Females,Austria
320,0,2016,"From 14 to 15 years",Females,Austria
321,0,2016,"From 14 to 15 years",Females,Austria
322,0,2016,"From 14 to 15 years",Females,Austria
323,0,2016,"From 14 to 15 years",Females,Austria
324,10605,2016,"From 14 to 15 years",Females,Austria
325,1615,2016,"From 14 to 15 years",Females,Austria
326,490,2016,"From 14 to 15 years",Females,Austria
327,195,2016,"From 14 to 15 years",Females,Austria
328,25,2016,"From 14 to 15 years",Females,Austria
329,10,2016,"From 14 to 15 years",Females,Austria
330,0,2016,"From 14 to 15 years",Females,Austria
331,0,2016,"From 14 to 15 years",Females,Austria
332,0,2016,"From 14 to 15 years",Females,Austria
333,210,2016,"From 14 to 15 years",Females,Austria
334,305,2016,"From 14 to 15 years",Females,Austria
335,440,2016,"From 14 to 15 years",Females,Austria
336,0,2016,"From 14 to 15 years",Females,Austria
337,0,2016,"From 14 to 15 years",Females,Austria
338,5,2016,"From 14 to 15 years",Females,Austria
339,14865,2016,"From 14 to 15 years",Females,Austria
340,3255,2016,"From 14 to 15 years",Females,Austria
341,1975,2016,"From 14 to 15 years",Females,Austria
342,40,2016,"From 14 to 15 years",Females,Austria
343,15,2016,"From 14 to 15 years",Females,Austria
344,10,2016,"From 14 to 15 years",Females,Austria
345,85,2016,"From 14 to 15 years",Females,Austria
346,165,2016,"From 14 to 15 years",Females,Austria
347,235,2016,"From 14 to 15 years",Females,Austria
348,70,2016,"From 14 to 15 years",Females,Austria
349,20,2016,"From 14 to 15 years",Females,Austria
350,0,2016,"From 14 to 15 years",Females,Austria
351,450,2016,"From 14 to 15 years",Females,Austria
352,50,2016,"From 14 to 15 years",Females,Austria
353,5,2016,"From 14 to 15 years",Females,Austria
354,5,2016,"From 14 to 15 years",Females,Austria
355,5,2016,"From 14 to 15 years",Females,Austria
356,0,2016,"From 14 to 15 years",Females,Austria
357,0,2016,"From 14 to 15 years",Females,Austria
358,0,2016,"From 14 to 15 years",Females,Austria
359,0,2016,"From 14 to 15 years",Females,Austria
360,40,2016,"From 14 to 15 years",Females,Austria
361,45,2016,"From 14 to 15 years",Females,Austria
362,55,2016,"From 14 to 15 years",Females,Austria
363,0,2016,"From 14 to 15 years",Females,Austria
364,0,2016,"From 14 to 15 years",Females,Austria
365,0,2016,"From 14 to 15 years",Females,Austria
366,0,2016,"From 14 to 15 years",Females,Austria
367,0,2016,"From 14 to 15 years",Females,Austria
368,0,2016,"From 14 to 15 years",Females,Austria
369,10,2016,"From 14 to 15 years",Females,Austria
370,5,2016,"From 14 to 15 years",Females,Austria
371,0,2016,"From 14 to 15 years",Females,Austria
372,0,2016,"From 14 to 15 years",Females,Austria
373,0,2016,"From 14 to 15 years",Females,Austria
374,0,2016,"From 14 to 15 years",Females,Austria
375,0,2016,"From 14 to 15 years",Females,Austria
376,0,2016,"From 14 to 15 years",Females,Austria
377,0,2016,"From 14 to 15 years",Females,Austria
378,80,2016,"From 14 to 15 years",Females,Austria
379,20,2016,"From 14 to 15 years",Females,Austria
380,10,2016,"From 14 to 15 years",Females,Austria
381,20,2016,"From 14 to 15 years",Females,Austria
382,10,2016,"From 14 to 15 years",Females,Austria
383,5,2016,"From 14 to 15 years",Females,Austria
384,0,2016,"From 14 to 15 years",Females,Austria
385,5,2016,"From 14 to 15 years",Females,Austria
386,10,2016,"From 14 to 15 years",Females,Austria
387,0,2016,"From 14 to 15 years",Females,Austria
388,5,2016,"From 14 to 15 years",Females,Austria
389,0,2016,"From 14 to 15 years",Females,Austria
390,5,2016,"From 14 to 15 years",Females,Austria
391,15,2016,"From 14 to 15 years",Females,Austria
392,5,2016,"From 14 to 15 years",Females,Austria
393,280,2016,"From 14 to 15 years",Females,Austria
394,120,2016,"From 14 to 15 years",Females,Austria
395,45,2016,"From 14 to 15 years",Females,Austria
396,75,2016,"From 14 to 15 years",Females,Austria
397,155,2016,"From 14 to 15 years",Females,Austria
398,90,2016,"From 14 to 15 years",Females,Austria
399,0,2016,"From 14 to 15 years",Females,Austria
400,0,2016,"From 14 to 15 years",Females,Austria
401,5,2016,"From 14 to 15 years",Females,Austria
402,15025,2016,"From 14 to 15 years",Females,Austria
403,3315,2016,"From 14 to 15 years",Females,Austria
404,2020,2016,"From 14 to 15 years",Females,Austria
405,265,2016,"From 14 to 15 years",Females,Austria
406,75,2016,"From 14 to 15 years",Females,Austria
407,105,2016,"From 14 to 15 years",Females,Austria
