"Index Num","Country of Origin","Country of Origin-ISO2","Monthly Asylum Data",Year,Month,Age,Sex,"Country of Asylum"
259,Afghanistan,AF,0,2019,12,Unknown,Females,Romania
260,Afghanistan,AF,0,2019,09,Unknown,Females,Sweden
261,Afghanistan,AF,0,2019,10,Unknown,Females,Sweden
262,Afghanistan,AF,0,2019,11,Unknown,Females,Sweden
263,Afghanistan,AF,0,2019,12,Unknown,Females,Sweden
264,Afghanistan,AF,0,2019,09,Unknown,Females,Slovenia
265,Afghanistan,AF,0,2019,10,Unknown,Females,Slovenia
266,Afghanistan,AF,0,2019,11,Unknown,Females,Slovenia
267,Afghanistan,AF,0,2019,12,Unknown,Females,Slovenia
268,Afghanistan,AF,0,2019,09,Unknown,Females,Slovakia
269,Afghanistan,AF,0,2019,10,Unknown,Females,Slovakia
270,Afghanistan,AF,0,2019,11,Unknown,Females,Slovakia
271,Afghanistan,AF,0,2019,12,Unknown,Females,Slovakia
272,Afghanistan,AF,5,2019,09,Unknown,Females,Total
273,Afghanistan,AF,0,2019,10,Unknown,Females,Total
274,Afghanistan,AF,0,2019,11,Unknown,Females,Total
275,Afghanistan,AF,0,2019,12,Unknown,Females,Total
276,Afghanistan,AF,5,2019,09,Unknown,Females,"United Kingdom"
277,Afghanistan,AF,0,2019,10,Unknown,Females,"United Kingdom"
278,Afghanistan,AF,0,2019,11,Unknown,Females,"United Kingdom"
279,Afghanistan,AF,0,2019,12,Unknown,Females,"United Kingdom"
280,Afghanistan,AF,5,2019,09,"From 14 to 17 years",Females,Austria
281,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Austria
282,Afghanistan,AF,5,2019,11,"From 14 to 17 years",Females,Austria
283,Afghanistan,AF,5,2019,12,"From 14 to 17 years",Females,Austria
284,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Belgium
285,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Belgium
286,Afghanistan,AF,5,2019,11,"From 14 to 17 years",Females,Belgium
287,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Belgium
288,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Bulgaria
289,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Bulgaria
290,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Bulgaria
291,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Bulgaria
292,Afghanistan,AF,5,2019,09,"From 14 to 17 years",Females,Switzerland
293,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Switzerland
294,Afghanistan,AF,5,2019,11,"From 14 to 17 years",Females,Switzerland
295,Afghanistan,AF,5,2019,12,"From 14 to 17 years",Females,Switzerland
296,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Cyprus
297,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Cyprus
298,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Cyprus
299,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Cyprus
300,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Czechia
301,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Czechia
302,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Czechia
303,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Czechia
304,Afghanistan,AF,40,2019,09,"From 14 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
305,Afghanistan,AF,20,2019,10,"From 14 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
306,Afghanistan,AF,20,2019,11,"From 14 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
307,Afghanistan,AF,20,2019,12,"From 14 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
